Date,vote,pred
2021-03-01 11:15:00,1.0,1.0
2021-03-01 13:45:00,0.0,0.0
2021-03-01 16:30:00,-1.0,-1.0
2021-03-01 19:30:00,5.0,1.0
2021-03-01 22:45:00,5.0,1.0
2021-03-02 05:15:00,5.0,1.0
2021-03-02 07:00:00,-1.0,-1.0
2021-03-02 09:00:00,7.0,2.0
2021-03-02 11:15:00,1.0,1.0
2021-03-02 13:45:00,-5.0,-1.0
2021-03-02 16:30:00,-1.0,-1.0
2021-03-02 19:30:00,1.0,1.0
2021-03-02 22:45:00,-1.0,-1.0
2021-03-03 05:15:00,-1.0,-1.0
2021-03-03 09:00:00,3.0,1.0
2021-03-03 11:15:00,1.0,1.0
2021-03-03 13:45:00,7.0,2.0
2021-03-03 16:30:00,-1.0,-1.0
2021-03-03 19:30:00,3.0,1.0
2021-03-03 22:45:00,2.0,1.0
2021-03-04 05:15:00,0.0,0.0
2021-03-04 07:00:00,2.0,1.0
2021-03-04 11:15:00,-4.0,-1.0
2021-03-04 13:45:00,-2.0,-1.0
2021-03-04 16:30:00,2.0,1.0
2021-03-04 19:30:00,-2.0,-1.0
2021-03-05 03:45:00,-2.0,-1.0
2021-03-05 05:15:00,3.0,1.0
2021-03-05 07:00:00,3.0,1.0
2021-03-05 09:00:00,5.0,1.0
2021-03-05 11:15:00,3.0,1.0
2021-03-05 13:45:00,7.0,2.0
2021-03-07 16:30:00,7.0,2.0
2021-03-07 22:45:00,3.0,1.0
2021-03-08 02:15:00,1.0,1.0
2021-03-08 07:00:00,-1.0,-1.0
2021-03-08 09:00:00,1.0,1.0
2021-03-08 11:15:00,3.0,1.0
2021-03-08 19:30:00,3.0,1.0
2021-03-08 22:45:00,1.0,1.0
2021-03-09 02:15:00,9.0,3.0
2021-03-09 07:00:00,-1.0,-1.0
2021-03-09 09:00:00,-3.0,-1.0
2021-03-09 11:15:00,-1.0,-1.0
2021-03-09 13:45:00,5.0,1.0
2021-03-09 16:30:00,1.0,1.0
2021-03-09 19:30:00,1.0,1.0
2021-03-09 22:45:00,-1.0,-1.0
2021-03-10 02:15:00,7.0,2.0
2021-03-10 07:00:00,3.0,1.0
2021-03-10 09:00:00,1.0,1.0
2021-03-10 13:45:00,5.0,1.0
2021-03-10 16:30:00,9.0,3.0
2021-03-10 19:30:00,1.0,1.0
2021-03-10 22:45:00,1.0,1.0
2021-03-11 09:00:00,-1.0,-1.0
2021-03-11 11:15:00,-2.0,-1.0
2021-03-11 13:45:00,1.0,1.0
2021-03-11 16:30:00,7.0,2.0
2021-03-11 19:30:00,1.0,1.0
2021-03-11 22:45:00,1.0,1.0
2021-03-12 02:15:00,0.0,0.0
2021-03-12 07:00:00,-1.0,-1.0
2021-03-12 11:15:00,-5.0,-1.0
2021-03-13 22:45:00,3.0,1.0
2021-03-14 07:00:00,5.0,1.0
2021-03-14 09:00:00,-3.0,-1.0
2021-03-14 11:15:00,7.0,2.0
2021-03-14 22:45:00,7.0,2.0
2021-03-15 02:15:00,9.0,3.0
2021-03-15 07:00:00,3.0,1.0
2021-03-15 09:00:00,2.0,1.0
2021-03-15 11:15:00,4.0,1.0
2021-03-15 13:45:00,7.0,2.0
2021-03-15 16:30:00,-1.0,-1.0
2021-03-15 19:30:00,7.0,2.0
2021-03-15 22:45:00,5.0,1.0
2021-03-16 03:45:00,3.0,1.0
2021-03-16 05:15:00,5.0,1.0
2021-03-16 07:00:00,6.0,2.0
2021-03-16 09:00:00,1.0,1.0
2021-03-16 11:15:00,1.0,1.0
2021-03-16 13:45:00,5.0,1.0
2021-03-16 16:30:00,7.0,2.0
2021-03-16 19:30:00,4.0,1.0
2021-03-16 22:45:00,7.0,2.0
2021-03-17 02:30:00,5.0,1.0
2021-03-17 05:15:00,5.0,1.0
2021-03-17 09:00:00,1.0,1.0
2021-03-17 11:15:00,7.0,2.0
2021-03-17 13:45:00,5.0,1.0
2021-03-17 16:30:00,5.0,1.0
2021-03-17 19:30:00,7.0,2.0
2021-03-18 02:15:00,3.0,1.0
2021-03-18 09:00:00,3.0,1.0
2021-03-18 11:15:00,2.0,1.0
2021-03-19 09:00:00,7.0,2.0
2021-03-19 13:45:00,-1.0,-1.0
2021-03-19 16:30:00,3.0,1.0
2021-03-19 19:30:00,1.0,1.0
2021-03-20 11:15:00,1.0,1.0
2021-03-20 13:45:00,3.0,1.0
2021-03-20 16:30:00,4.0,1.0
2021-03-20 19:30:00,1.0,1.0
2021-03-20 22:45:00,1.0,1.0
2021-03-21 09:00:00,1.0,1.0
2021-03-21 19:30:00,5.0,1.0
2021-03-22 02:30:00,3.0,1.0
2021-03-22 05:15:00,5.0,1.0
2021-03-22 07:00:00,5.0,1.0
2021-03-22 09:00:00,-5.0,-1.0
2021-03-22 11:15:00,-1.0,-1.0
2021-03-22 13:45:00,4.0,1.0
2021-03-22 16:30:00,7.0,2.0
2021-03-22 19:30:00,-1.0,-1.0
2021-03-22 22:45:00,2.0,1.0
2021-03-23 05:15:00,5.0,1.0
2021-03-23 07:00:00,1.0,1.0
2021-03-23 09:00:00,3.0,1.0
2021-03-23 11:15:00,3.0,1.0
2021-03-23 13:45:00,7.0,2.0
2021-03-23 16:30:00,-1.0,-1.0
2021-03-23 19:30:00,3.0,1.0
2021-03-23 22:45:00,-1.0,-1.0
2021-03-24 02:15:00,1.0,1.0
2021-03-24 05:15:00,1.0,1.0
2021-03-24 09:00:00,3.0,1.0
2021-03-24 11:15:00,1.0,1.0
2021-03-25 16:30:00,0.0,0.0
2021-03-25 19:30:00,-1.0,-1.0
2021-03-25 22:45:00,1.0,1.0
2021-03-26 03:45:00,2.0,1.0
2021-03-26 05:15:00,3.0,1.0
2021-03-26 07:00:00,0.0,0.0
2021-03-26 11:15:00,3.0,1.0
2021-03-26 13:45:00,5.0,1.0
2021-03-26 16:30:00,1.0,1.0
2021-03-26 19:30:00,4.0,1.0
2021-03-26 22:45:00,5.0,1.0
2021-03-27 05:15:00,-1.0,-1.0
2021-03-27 07:00:00,2.0,1.0
2021-03-27 09:00:00,2.0,1.0
2021-03-27 11:15:00,3.0,1.0
2021-03-27 16:30:00,3.0,1.0
2021-03-27 19:30:00,1.0,1.0
2021-03-27 22:45:00,3.0,1.0
2021-03-28 02:30:00,3.0,1.0
2021-03-28 03:45:00,3.0,1.0
2021-03-28 07:00:00,-5.0,-1.0
2021-03-28 13:45:00,5.0,1.0
2021-03-28 16:30:00,3.0,1.0
2021-03-28 19:30:00,5.0,1.0
2021-03-28 22:45:00,1.0,1.0
2021-03-29 03:45:00,1.0,1.0
2021-03-29 07:00:00,1.0,1.0
2021-03-29 09:00:00,3.0,1.0
2021-03-29 11:15:00,5.0,1.0
2021-03-29 13:45:00,2.0,1.0
2021-03-29 16:30:00,0.0,0.0
2021-03-29 19:30:00,1.0,1.0
