Date,con_pos,con_neg,overall
2023/7/14,1.119147821,0.276762707,-0.405854616
2023/7/15,0,-0.105229569,-0.244759723
2023/7/17,0,0.440394942,0.072005365
2023/7/18,0,0.05830288,-0.121783497
2023/7/19,0,-0.369893122,-0.439673915
2023/7/21,-0.075111494,0,0.125515995
2023/7/22,0,0.292307741,0.129692068
2023/7/23,0.290603583,0,1.478187157
2023/7/25,0,0.362184324,0.429171686
2023/7/26,0,-0.046926689,-0.36654322
2023/7/27,-0.293328472,-0.228149088,-0.610180073
2023/7/28,0,0.276762707,-0.333849251
2023/7/29,0,-0.105229569,-0.244759723
2023/8/1,0,0.276762707,-0.333849251
2023/8/2,0,0.10610264,0.268849272
2023/8/3,-0.124963443,-1.48131216,-1.841169818
2023/8/4,0,0.229935804,-0.417514081
2023/8/5,0,0.094740608,0.144122798
2023/8/8,0,0.10610264,0.268849272
2023/8/10,-0.105112932,-0.228149088,-0.524020802
2023/8/12,0,-0.104356498,-0.220670174
2023/8/16,0.545127097,-0.059151945,-0.361299397
2023/8/17,0,0.117632559,-0.224636144
2023/8/18,1.119147821,-0.190514726,-0.838467212
2023/8/19,0,-0.141744034,-0.262551781
2023/8/22,0,0.288888436,-0.175334969
2023/8/26,0,-0.159782201,-0.29574717
2023/8/29,0,0.060118094,-0.064268881
2023/8/30,0.169441633,0.29416608,0.392022293
2023/8/31,-0.363478931,0.177336946,-0.197685605
2023/9/1,1.090254193,-0.325009594,-0.31805934
2023/9/2,1.179920474,-0.017606728,0.319211702
2023/9/3,0,-1.48131216,-1.583589822
2023/9/5,0,-0.08893553,-0.217623129
2023/9/6,0,-8.39E-05,-0.146483885
2023/9/7,0,-0.165227393,-0.246948314
2023/9/8,0,0.070289956,-0.358764067
2023/9/12,0,-0.245031122,-0.809900979
2023/9/13,0.876602035,0,1.660391
2023/9/14,0.402361919,-0.062896381,-0.002114582
2023/9/16,-0.465679951,-0.062896381,-0.64050282
2023/9/19,0,0.403033547,0.566822548
2023/9/20,0.532796213,-0.583987421,-0.908645684
2023/9/21,0,0.118268756,-0.566530751
2023/9/22,1.119147821,0.066232227,-0.294675806
2023/9/23,-0.322914774,0,-0.300824785
2023/9/26,0,0.151002097,0.094145631
2023/9/27,0.876602035,-0.064432497,1.245059571
2023/9/28,1.119147821,0,-0.184256866
2023/9/29,1.390804682,0,0.603221825
2023/9/30,0.545127097,-0.062896381,0.130884299
2023/10/1,0,-0.423107305,-1.090458334
2023/10/3,0,0.308466012,0.433823667
2023/10/6,4,0,1.244151451
2023/10/7,1.119147821,-0.179337404,-0.521820319
2023/10/8,1.141241341,0,0.415331429
2023/10/11,0,0.07886662,-0.250891339
2023/10/12,2.083710176,-0.724219784,-0.380487809
2023/10/13,2.013435441,0,2.128475052
2023/10/14,-0.805768762,0.021669387,-0.889028269
2023/10/15,0,-0.770175549,-0.859787048
2023/10/17,0,-0.157668018,-0.476806299
2023/10/18,0,-0.513780548,-0.755860935
2023/10/19,0,-0.327046568,-0.544919216
2023/10/20,0.423637057,0.021669387,0.655708462
2023/10/21,1.37617103,0,0.408157172
2023/10/22,0,-0.770175549,-0.859787048
2023/10/24,1.009130925,0,0.476806299
2023/10/25,1.142406112,-0.217955978,-0.034715241
2023/10/26,-0.279370667,-0.164311279,-0.65172229
2023/10/27,-0.254560165,0,-0.363760733
2023/10/28,0.536840906,0.187326064,-0.358447204
2023/10/30,0,1.136503739,0.714759147
