Date,vote
2020-09-19,0.0
2020-09-20,3.0
2020-09-21,3.0
2020-09-22,3.0
2020-09-23,3.0
2020-09-24,-1.0
2020-09-25,-1.0
2020-09-26,1.0
2020-09-27,1.0
2020-09-28,-1.0
2020-09-29,-2.0
2020-09-30,-3.0
2020-10-01,-1.0
2020-10-02,-1.0
2020-10-03,1.0
2020-10-04,1.0
2020-10-05,-1.0
2020-10-06,-1.0
2020-10-07,0.0
2020-10-08,-1.0
2020-10-09,-3.0
2020-10-10,-3.0
2020-10-11,-1.0
2020-10-12,-4.0
2020-10-13,-4.0
2020-10-14,-3.0
2020-10-15,-3.0
2020-10-16,-3.0
2020-10-17,-3.0
2020-10-18,-5.0
2020-10-19,-3.0
2020-10-20,-3.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,-4.0
2020-10-31,4.0
2020-11-01,1.0
2020-11-02,-3.0
2020-11-03,-2.0
2020-11-04,5.0
2020-11-05,2.0
2020-11-06,2.0
2020-11-07,0.0
2020-11-08,-1.0
2020-11-09,-1.0
2020-11-10,-2.0
2020-11-11,-1.0
2020-11-12,-1.0
2020-11-13,-3.0
2020-11-14,-5.0
2020-11-15,-3.0
2020-11-16,-2.0
2020-11-17,1.0
2020-11-18,2.0
2020-11-19,3.0
2020-11-20,1.0
2020-11-21,3.0
2020-11-22,3.0
2020-11-23,5.0
2020-11-24,5.0
2020-11-25,3.0
2020-11-26,3.0
2020-11-27,3.0
2020-11-28,3.0
2020-11-29,3.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,2.0
2020-12-09,5.0
2020-12-10,1.0
2020-12-11,3.0
2020-12-12,3.0
2020-12-13,3.0
2020-12-14,5.0
2020-12-15,5.0
2020-12-16,6.0
2020-12-17,6.0
2020-12-18,4.0
2020-12-19,7.0
2020-12-20,4.0
2020-12-21,4.0
2020-12-22,2.0
2020-12-23,2.0
2020-12-24,2.0
2020-12-25,3.0
2020-12-26,-2.0
2020-12-27,-1.0
2020-12-28,1.0
2020-12-29,1.0
2020-12-30,4.0
2020-12-31,1.0
2021-01-01,-1.0
2021-01-02,3.0
2021-01-03,1.0
2021-01-04,3.0
2021-01-05,3.0
2021-01-06,3.0
2021-01-07,3.0
2021-01-08,1.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.0
2021-01-17,4.0
2021-01-18,6.0
2021-01-19,5.0
2021-01-20,5.0
2021-01-21,4.0
2021-01-22,4.0
2021-01-23,4.0
2021-01-24,3.0
2021-01-25,4.0
2021-01-26,4.0
2021-01-27,2.0
2021-01-28,2.0
2021-01-29,-2.0
2021-01-30,3.0
2021-01-31,1.0
2021-02-01,1.0
2021-02-02,1.0
2021-02-03,1.0
2021-02-04,1.0
2021-02-05,1.0
2021-02-06,1.0
2021-02-07,1.0
2021-02-08,-1.0
2021-02-09,2.0
2021-02-10,2.0
2021-02-11,0.0
2021-02-12,-2.0
2021-02-13,-3.0
2021-02-14,0.0
2021-02-15,-1.0
2021-02-16,0.0
2021-02-17,2.0
2021-02-18,0.0
2021-02-19,0.0
2021-02-20,0.0
2021-02-21,0.0
2021-02-22,0.0
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,3.0
2021-02-27,3.0
2021-02-28,3.0
2021-03-01,3.0
2021-03-02,2.0
2021-03-03,1.0
2021-03-04,1.0
2021-03-05,3.0
2021-03-06,3.0
2021-03-07,-3.0
2021-03-08,-5.0
2021-03-09,-2.0
2021-03-10,1.0
2021-03-11,0.0
2021-03-12,-1.0
2021-03-13,-3.0
2021-03-14,-5.0
2021-03-15,-2.0
2021-03-16,-3.0
2021-03-17,1.0
2021-03-18,-1.0
2021-03-19,-3.0
2021-03-20,-3.0
2021-03-21,-1.0
2021-03-22,1.0
2021-03-23,2.0
2021-03-24,1.0
2021-03-25,-1.0
2021-03-26,-1.0
2021-03-27,-1.0
2021-03-28,1.0
2021-03-29,-1.0
