Date,vote
2020-12-26 00:00:00,4.0
2020-12-26 12:00:00,1.0
2020-12-27 00:00:00,0.0
2020-12-27 12:00:00,1.0
2020-12-28 00:00:00,1.0
2020-12-28 12:00:00,-1.0
2020-12-29 00:00:00,1.0
2020-12-29 12:00:00,3.0
2020-12-30 00:00:00,0.0
2020-12-30 12:00:00,3.0
2020-12-31 00:00:00,5.0
2020-12-31 12:00:00,5.0
2021-01-01 00:00:00,6.0
2021-01-01 12:00:00,3.0
2021-01-02 00:00:00,5.0
2021-01-02 12:00:00,5.0
2021-01-03 00:00:00,4.0
2021-01-03 12:00:00,4.0
2021-01-04 00:00:00,4.0
2021-01-04 12:00:00,4.0
2021-01-05 00:00:00,4.0
2021-01-05 12:00:00,2.0
2021-01-06 00:00:00,2.0
2021-01-06 12:00:00,4.0
2021-01-07 00:00:00,3.0
2021-01-07 12:00:00,3.0
2021-01-08 00:00:00,3.0
2021-01-08 12:00:00,4.0
2021-01-09 00:00:00,5.0
2021-01-09 12:00:00,5.0
2021-01-10 00:00:00,6.0
2021-01-10 12:00:00,6.0
2021-01-11 00:00:00,3.0
2021-01-11 12:00:00,3.0
2021-01-12 00:00:00,0.0
2021-01-12 12:00:00,0.0
2021-01-13 00:00:00,0.0
2021-01-13 12:00:00,0.0
2021-01-14 00:00:00,0.0
2021-01-14 12:00:00,0.0
2021-01-15 00:00:00,6.0
2021-01-15 12:00:00,6.0
2021-01-16 00:00:00,2.0
2021-01-16 12:00:00,4.0
2021-01-17 00:00:00,4.0
2021-01-17 12:00:00,0.0
2021-01-18 00:00:00,1.0
2021-01-18 12:00:00,2.0
2021-01-19 00:00:00,2.0
2021-01-19 12:00:00,1.0
2021-01-20 00:00:00,2.0
2021-01-20 12:00:00,3.0
2021-01-21 00:00:00,5.0
2021-01-21 12:00:00,4.0
2021-01-22 00:00:00,6.0
2021-01-22 12:00:00,6.0
2021-01-23 00:00:00,6.0
2021-01-23 12:00:00,5.0
2021-01-24 00:00:00,0.0
2021-01-24 12:00:00,1.0
2021-01-25 00:00:00,5.0
2021-01-25 12:00:00,2.0
2021-01-26 00:00:00,2.0
2021-01-26 12:00:00,0.0
2021-01-27 00:00:00,5.0
2021-01-27 12:00:00,2.0
2021-01-28 00:00:00,0.0
2021-01-28 12:00:00,0.0
2021-01-29 00:00:00,0.0
2021-01-29 12:00:00,0.0
2021-01-30 00:00:00,0.0
2021-01-30 12:00:00,-1.0
2021-01-31 00:00:00,0.0
2021-01-31 12:00:00,0.0
2021-02-01 00:00:00,0.0
2021-02-01 12:00:00,0.0
2021-02-02 00:00:00,0.0
2021-02-02 12:00:00,0.0
2021-02-03 00:00:00,5.0
2021-02-03 12:00:00,3.0
2021-02-04 00:00:00,1.0
2021-02-04 12:00:00,1.0
2021-02-05 00:00:00,2.0
2021-02-05 12:00:00,1.0
2021-02-06 00:00:00,0.0
2021-02-06 12:00:00,1.0
2021-02-07 00:00:00,1.0
2021-02-07 12:00:00,1.0
2021-02-08 00:00:00,3.0
2021-02-08 12:00:00,1.0
2021-02-09 00:00:00,3.0
2021-02-09 12:00:00,4.0
2021-02-10 00:00:00,2.0
2021-02-10 12:00:00,6.0
2021-02-11 00:00:00,5.0
2021-02-11 12:00:00,2.0
2021-02-12 00:00:00,3.0
2021-02-12 12:00:00,2.0
2021-02-13 00:00:00,4.0
2021-02-13 12:00:00,5.0
2021-02-14 00:00:00,6.0
2021-02-14 12:00:00,6.0
2021-02-15 00:00:00,2.0
2021-02-15 12:00:00,0.0
2021-02-16 00:00:00,1.0
2021-02-16 12:00:00,2.0
2021-02-17 00:00:00,3.0
2021-02-17 12:00:00,6.0
2021-02-18 00:00:00,1.0
2021-02-18 12:00:00,-2.0
2021-02-19 00:00:00,-2.0
2021-02-19 12:00:00,0.0
2021-02-20 00:00:00,0.0
2021-02-20 12:00:00,0.0
2021-02-21 00:00:00,0.0
2021-02-21 12:00:00,0.0
2021-02-22 00:00:00,0.0
2021-02-22 12:00:00,3.0
2021-02-23 00:00:00,4.0
2021-02-23 12:00:00,3.0
2021-02-24 00:00:00,4.0
2021-02-24 12:00:00,5.0
2021-02-25 00:00:00,4.0
2021-02-25 12:00:00,4.0
2021-02-26 00:00:00,5.0
2021-02-26 12:00:00,6.0
2021-02-27 00:00:00,6.0
2021-02-27 12:00:00,6.0
2021-02-28 00:00:00,1.0
2021-02-28 12:00:00,0.0
2021-03-01 00:00:00,-1.0
2021-03-01 12:00:00,-1.0
2021-03-02 00:00:00,3.0
2021-03-02 12:00:00,3.0
2021-03-03 00:00:00,3.0
2021-03-03 12:00:00,2.0
2021-03-04 00:00:00,3.0
2021-03-04 12:00:00,2.0
2021-03-05 00:00:00,7.0
2021-03-05 12:00:00,4.0
2021-03-06 00:00:00,1.0
2021-03-06 12:00:00,1.0
2021-03-07 00:00:00,0.0
2021-03-07 12:00:00,5.0
2021-03-08 00:00:00,1.0
2021-03-08 12:00:00,-3.0
2021-03-09 00:00:00,-5.0
2021-03-09 12:00:00,-3.0
2021-03-10 00:00:00,1.0
2021-03-10 12:00:00,1.0
2021-03-11 00:00:00,0.0
2021-03-11 12:00:00,0.0
2021-03-12 00:00:00,0.0
2021-03-12 12:00:00,0.0
2021-03-13 00:00:00,0.0
2021-03-13 12:00:00,0.0
2021-03-14 00:00:00,3.0
2021-03-14 12:00:00,3.0
2021-03-15 00:00:00,1.0
2021-03-15 12:00:00,1.0
2021-03-16 00:00:00,0.0
2021-03-16 12:00:00,3.0
2021-03-17 00:00:00,1.0
2021-03-17 12:00:00,5.0
2021-03-18 00:00:00,3.0
2021-03-18 12:00:00,2.0
2021-03-19 00:00:00,3.0
2021-03-19 12:00:00,4.0
2021-03-20 00:00:00,4.0
2021-03-20 12:00:00,4.0
2021-03-21 00:00:00,2.0
2021-03-21 12:00:00,3.0
2021-03-22 00:00:00,1.0
2021-03-22 12:00:00,3.0
2021-03-23 00:00:00,3.0
2021-03-23 12:00:00,3.0
2021-03-24 00:00:00,1.0
2021-03-24 12:00:00,3.0
2021-03-25 00:00:00,5.0
2021-03-25 12:00:00,3.0
2021-03-26 00:00:00,5.0
2021-03-26 12:00:00,3.0
2021-03-27 00:00:00,7.0
2021-03-27 12:00:00,3.0
2021-03-28 00:00:00,-2.0
2021-03-28 12:00:00,-1.0
2021-03-29 00:00:00,-1.0
2021-03-29 12:00:00,-1.0
