Date,score,vote,weighted_votes
2020-09-19,0.0030621025221450535,-2.0,-1.100240331553576
2020-09-20,0.0003839024726185669,-2.0,-1.0797303306777688
2020-09-21,-0.004521675172288186,-3.0,-1.5751250177588259
2020-09-22,0.01651256328957129,5.0,2.4298759512798167
2020-09-23,-0.003526678073958127,0.0,-0.1406808589337108
2020-09-24,-0.0003458490906957908,1.0,0.5722762411945064
2020-09-25,-0.0015649510139955983,1.0,0.41741473618984465
2020-09-26,-0.005977030149210598,1.0,0.4031695600654829
2020-09-27,-0.002502325852712516,2.0,1.0011924895307769
2020-09-28,-0.009686867021896929,-2.0,-1.0462092381748995
2020-09-29,0.004517121891832389,1.0,0.5141218881888057
2020-09-30,0.03218731714553061,1.0,0.4487436154849148
2020-10-01,0.007350767512033381,3.0,1.4291500851943413
2020-10-02,0.017387735451896622,-1.0,-0.4370676770166232
2020-10-03,0.019175320480222288,0.0,-0.0634037679361949
2020-10-04,0.024643629558305152,0.0,0.08971280871375548
2020-10-05,-0.02047706465071625,-2.0,-0.9936854981705415
2020-10-06,-0.003325722052909239,-4.0,-2.0551696611039714
2020-10-07,-0.01687814451081526,-3.0,-1.5371310968388503
2020-10-08,-0.014551764171973439,-4.0,-1.9728460164131376
2020-10-09,-0.014135334833755661,-4.0,-1.9718111279201462
2020-10-10,-0.012833914446490693,-3.0,-1.5938327256253877
2020-10-11,-0.0038397275779001386,-1.0,-0.638283608812145
2020-10-12,-0.03062321330302183,-3.0,-1.6424649550125232
2020-10-13,-0.019472824555313073,-5.0,-2.5508788365935358
2020-10-14,-0.00277577833457033,-3.0,-1.536445777135941
2020-10-15,-0.002139787795806548,-3.0,-1.5744036524414473
2020-10-16,-0.001333872183896986,-2.0,-0.9956553013675834
2020-10-17,-0.03439531434382723,-6.0,-2.985178058368521
2020-10-18,-0.007155202165273294,1.0,0.5539253386217945
2020-10-19,-0.008394721049379609,-2.0,-0.9417091124273966
2020-10-20,0.013347792584109482,0.0,0.060703315974955596
2020-10-21,0.0,0.0,0.0
2020-10-22,0.0,0.0,0.0
2020-10-23,0.0,0.0,0.0
2020-10-24,0.0,0.0,0.0
2020-10-25,0.0,0.0,0.0
2020-10-26,0.0,0.0,0.0
2020-10-27,0.0,0.0,0.0
2020-10-28,0.0,0.0,0.0
2020-10-29,0.002980054113586349,3.0,1.378599877712671
2020-10-30,0.0023381591367273003,2.0,0.8945110307308513
2020-10-31,-0.006683174344416474,-1.0,-0.6584430045600843
2020-11-01,-0.007665129220702231,0.0,0.027136184273211017
2020-11-02,-0.012858537968118082,-2.0,-1.0422792690233793
2020-11-03,-2.5133647220469593e-05,1.0,0.5083502398524633
2020-11-04,0.0012430842676940514,2.0,1.0423836596909426
2020-11-05,0.0027873828554266927,3.0,1.478882791046924
2020-11-06,0.005065534519008751,4.0,1.9818067042375436
