Date,score,votes,weighted_votes
2023-04-08,-0.02761010991864412,1.0,0.5
2023-04-11,-0.04410925940185911,-1.0,-0.5
2023-04-12,0.004556633935019462,-1.0,-0.5
2023-04-13,0.003725161083214966,1.0,0.5
2023-04-14,-0.1342533614106438,-5.0,-2.5
2023-04-15,-0.021161306647754508,-1.0,-0.5
2023-04-16,-0.05406807987321825,-1.0,-0.5
2023-04-18,-0.06918900120941637,-3.0,-1.5
2023-04-19,-0.1727325926023551,-4.0,-2.0
2023-04-20,0.09554400635466552,2.0,1.0
2023-04-21,-0.026095413599992193,-2.0,-1.0
2023-04-24,0.01927052736080955,2.0,1.0
2023-04-25,-0.05642860279511233,-2.0,-1.0
2023-04-26,-0.02496831290816435,1.0,0.5
2023-04-27,0.05831386772509288,1.0,0.5
2023-04-28,0.04007290152541541,1.0,0.5
2023-04-29,-0.12073521940209672,-3.0,-1.5
2023-05-02,0.047607079496090346,3.0,1.5
2023-05-03,0.08469425023914343,2.0,1.0
2023-05-04,0.05384578801455727,2.0,1.0
2023-05-05,-0.00276982656925278,-2.0,-1.0
2023-05-06,0.012044106976152756,0.0,0.0
2023-05-08,0.024861941587176455,0.0,0.0
2023-05-09,0.04372930377331706,1.0,0.5
2023-05-10,0.008493328048104251,-1.0,-0.5
2023-05-11,0.0023299165366250096,1.0,0.5
2023-05-13,-0.02488597273315278,-1.0,-0.5
2023-05-14,-0.001961923831675979,3.0,1.5
2023-05-16,0.10806353169287909,3.0,1.5
2023-05-17,-0.14955160298128917,-3.0,-1.5
2023-05-18,0.1985714285714286,3.0,1.5
2023-05-19,-0.21190476190476193,-4.0,-2.0
2023-05-20,0.14523809523809525,3.0,1.5
2023-05-21,0.016666666666666663,0.0,0.0
2023-05-23,-0.03527855955346048,0.0,0.0
2023-05-26,-0.03151515151515152,-2.0,-1.0
2023-05-27,-0.03564028651832527,1.0,0.5
2023-05-31,-0.1481818181818182,-4.0,-2.0
2023-06-01,0.04515151515151515,1.0,0.5
2023-06-02,0.03,1.0,0.5
2023-06-03,0.01096218217860348,1.0,0.5
2023-06-04,0.20891479142758568,3.0,1.5
2023-06-06,-0.03553013255112832,-1.0,-0.5
2023-06-07,0.06254008742639253,1.0,0.5
2023-06-08,0.011299719960126475,-1.0,-0.5
2023-06-09,-0.00894429409410278,-1.0,-0.5
2023-06-10,0.10341991341991343,3.0,1.5
2023-06-12,-0.19476190476190475,-3.0,-1.5
2023-06-16,0.04000000000000001,1.0,0.5
2023-06-17,-0.08502164502164503,-3.0,-1.5
2023-06-19,-0.023549783549783557,0.0,0.0
2023-06-22,-0.11703709045975612,-2.0,-1.0
2023-06-23,0.04760421455556764,2.0,1.0
2023-06-24,0.09611345895157675,2.0,1.0
2023-06-27,0.016133349092683606,2.0,1.0
2023-06-28,0.04669318494548222,1.0,0.5
