date,score,media_weight
2016-01-01,0.0,0.0
2016-01-02,0.0,0.0
2016-01-03,0.0,0.0
2016-01-04,-1.0,-1.446227383727384
2016-01-05,-1.0,-0.8984614631599558
2016-01-06,0.0,0.0
2016-01-07,0.0,0.0
2016-01-08,0.0,0.0
2016-01-09,0.0,0.0
2016-01-10,0.0,0.0
2016-01-11,0.0,0.0
2016-01-12,0.0,0.0
2016-01-13,0.0,0.0
2016-01-14,1.0,1.0414738011479354
2016-01-15,0.0,0.0
2016-01-16,0.0,-0.9416514717374317
2016-01-17,0.0,0.0
2016-01-18,0.0,0.0
2016-01-19,0.0,0.0
2016-01-20,0.0,0.0
2016-01-21,1.0,1.0414738011479354
2016-01-22,0.0,0.0
2016-01-23,0.0,0.0
2016-01-24,1.0,1.1935022214627475
2016-01-25,-1.0,-1.446227383727384
2016-01-26,-1.0,-0.8984614631599558
2016-01-27,-1.0,-0.8984614631599558
2016-01-28,1.0,0.8345210653055344
2016-01-29,0.0,0.2532782890957944
2016-01-30,0.0,0.09982232941050373
2016-01-31,1.0,1.1935022214627475
2016-02-01,-1.0,-0.7985456324497421
2016-02-02,1.0,1.221330821829719
2016-02-03,0.0,0.0
2016-02-04,0.0,0.0
2016-02-05,0.0,0.0
2016-02-06,1.0,1.0783184838417395
2016-02-07,0.0,0.0
2016-02-08,0.0,0.0
2016-02-09,0.0,0.0
2016-02-10,1.0,1.0414738011479354
2016-02-11,0.0,0.0
2016-02-12,0.0,0.0
2016-02-13,0.0,0.0
2016-02-14,0.0,0.0
2016-02-15,0.0,0.0
2016-02-16,0.0,0.0
2016-02-17,0.0,0.0
2016-02-18,1.0,1.0414738011479354
2016-02-19,0.0,0.0
2016-02-20,0.0,0.0
2016-02-21,1.0,1.0414738011479354
2016-02-22,0.0,0.0
2016-02-23,0.0,0.0
2016-02-24,0.0,0.0
2016-02-25,0.0,0.0
2016-02-26,0.0,0.0
2016-02-27,-1.0,-0.9416514717374317
2016-02-28,0.0,0.0
2016-02-29,0.0,0.0
2016-03-01,0.0,0.0
2016-03-02,0.0,0.0
2016-03-03,1.0,0.8345210653055344
2016-03-04,0.0,0.0
2016-03-05,0.0,0.0
2016-03-06,0.0,0.0
2016-03-07,0.0,0.0
2016-03-08,1.0,1.194929760833226
2016-03-09,0.0,0.0
2016-03-10,0.0,0.0
2016-03-11,0.0,0.0
2016-03-12,0.0,0.0
2016-03-13,1.0,1.0414738011479354
2016-03-14,0.0,0.0
2016-03-15,-1.0,-0.9416514717374317
2016-03-16,1.0,3.1612660861376103
2016-03-17,1.0,1.1412961305584393
2016-03-18,0.0,0.0
2016-03-19,0.0,0.0
2016-03-20,0.0,0.0
2016-03-21,0.0,0.0
2016-03-22,-1.0,-0.7975536674122793
2016-03-23,-1.0,-0.7975536674122793
2016-03-24,1.0,2.2349760226106827
2016-03-25,1.0,1.0414738011479354
2016-03-26,0.0,0.0
2016-03-27,1.0,1.0414738011479354
2016-03-28,0.0,0.0
2016-03-29,-1.0,-1.1396809712027105
2016-03-30,0.0,0.0
2016-03-31,0.0,0.0
2016-04-01,0.0,0.5860059547837065
2016-04-02,0.0,0.0
2016-04-03,0.0,0.0
2016-04-04,0.0,0.0
2016-04-05,0.0,0.0
2016-04-06,0.0,0.0
2016-04-07,0.0,0.0
2016-04-08,-1.0,-0.9416514717374317
2016-04-09,0.0,0.0
2016-04-10,-1.0,-1.7401971041871738
2016-04-11,-1.0,-0.9416514717374317
2016-04-12,0.0,0.0
2016-04-13,0.0,0.0
2016-04-14,0.0,0.0
2016-04-15,0.0,0.0
2016-04-16,-1.0,-0.9416514717374317
2016-04-17,0.0,0.0
2016-04-18,0.0,0.0
2016-04-19,-1.0,-0.9416514717374317
2016-04-20,0.0,0.0
2016-04-21,0.0,0.0
2016-04-22,0.0,0.0
2016-04-23,-1.0,-0.9416514717374317
2016-04-24,0.0,0.0
2016-04-25,0.0,0.0
2016-04-26,-1.0,-1.4790544821032627
2016-04-27,1.0,1.194929760833226
2016-04-28,0.0,0.0
2016-04-29,1.0,0.3973760934209468
2016-04-30,0.0,0.0
2016-05-01,0.0,0.0
2016-05-02,0.0,0.0
2016-05-03,0.0,0.0
2016-05-04,0.0,0.0
2016-05-05,0.0,0.0
2016-05-06,0.0,0.0
2016-05-07,0.0,0.0
2016-05-08,0.0,0.0
2016-05-09,0.0,0.0
2016-05-10,-1.0,-0.7975536674122793
2016-05-11,-1.0,-0.9416514717374317
2016-05-12,1.0,0.8345210653055344
2016-05-13,1.0,1.0414738011479354
2016-05-14,0.0,0.0
2016-05-15,0.0,0.0
2016-05-16,-1.0,-1.7401971041871738
2016-05-17,1.0,1.0414738011479354
2016-05-18,0.0,0.0
2016-05-19,-1.0,-0.9416514717374317
2016-05-20,0.0,0.0
2016-05-21,0.0,0.0
2016-05-22,-1.0,-1.2011562998405103
2016-05-23,0.0,0.0
2016-05-24,0.0,0.0
2016-05-25,0.0,0.0
2016-05-26,0.0,0.0
2016-05-27,0.0,0.0
2016-05-28,0.0,-0.9416514717374317
2016-05-29,0.0,0.0
2016-05-30,0.0,0.0
2016-05-31,1.0,1.0414738011479354
2016-06-01,1.0,1.0414738011479354
2016-06-02,-1.0,-0.9416514717374317
2016-06-03,0.0,0.0
2016-06-04,-1.0,-0.9416514717374317
2016-06-05,1.0,1.0414738011479354
2016-06-06,0.0,0.0
2016-06-07,-1.0,-0.9416514717374317
2016-06-08,0.0,0.0
2016-06-09,1.0,1.0414738011479354
2016-06-10,0.0,0.1052776114783216
2016-06-11,0.0,0.0
2016-06-12,0.0,0.0
2016-06-13,0.0,0.0
2016-06-14,0.0,0.0
2016-06-15,0.0,0.0
2016-06-16,0.0,0.0
2016-06-17,0.0,0.0
2016-06-18,0.0,0.0
2016-06-19,0.0,0.0
2016-06-20,-1.0,-0.9861234655755204
2016-06-21,1.0,0.8934410912828178
2016-06-22,0.0,0.0
2016-06-23,0.0,0.0
2016-06-24,0.0,0.0
2016-06-25,1.0,0.8277084757347914
2016-06-26,0.0,0.0
2016-06-27,0.0,0.0
2016-06-28,0.0,0.0
2016-06-29,-1.0,-0.9355590062111803
2016-06-30,-1.0,-0.8984614631599558
2016-07-01,0.0,0.0
2016-07-02,0.0,0.0
2016-07-03,-1.0,-0.8984614631599558
2016-07-04,-1.0,-2.1695235996095596
2016-07-05,0.0,0.0
2016-07-06,0.0,0.0
2016-07-07,0.0,0.0
2016-07-08,0.0,0.0
2016-07-09,0.0,0.0
2016-07-10,0.0,0.0
2016-07-11,0.0,0.0
2016-07-12,-1.0,-0.9861234655755204
2016-07-13,-1.0,-2.081332442940142
2016-07-14,0.0,0.0
2016-07-15,0.0,0.0
2016-07-16,1.0,0.8934410912828178
2016-07-17,0.0,0.0
2016-07-18,0.0,0.0
2016-07-19,0.0,0.0
2016-07-20,0.0,0.0
2016-07-21,0.0,0.0
2016-07-22,0.0,0.0
2016-07-23,0.0,0.0
2016-07-24,0.0,0.0
2016-07-25,0.0,0.0
2016-07-26,0.0,0.0
2016-07-27,0.0,0.0
2016-07-28,-1.0,-0.7975536674122793
2016-07-29,0.0,0.0
2016-07-30,-1.0,-0.9416514717374317
2016-07-31,0.0,0.0
2016-08-01,-1.0,-1.6970070956096979
2016-08-02,0.0,0.0
2016-08-03,0.0,0.0
2016-08-04,0.0,0.0
2016-08-05,-1.0,-0.841829142326928
2016-08-06,0.0,0.0
2016-08-07,1.0,1.0414738011479354
2016-08-08,1.0,0.6481227385813417
2016-08-09,0.0,0.0
2016-08-10,-1.0,-1.446227383727384
2016-08-11,1.0,1.8759948664534698
2016-08-12,0.0,0.0
2016-08-13,0.0,0.0
2016-08-14,0.0,0.0
2016-08-15,0.0,0.0
2016-08-16,0.0,0.0
2016-08-17,0.0,0.0
2016-08-18,0.0,0.0
2016-08-19,0.0,0.0
2016-08-20,0.0,0.0
2016-08-21,0.0,0.0
2016-08-22,0.0,0.0
2016-08-23,-1.0,-1.8998796028797487
2016-08-24,1.0,1.009126009126009
2016-08-25,1.0,1.009126009126009
2016-08-26,0.0,0.0
2016-08-27,0.0,0.0
2016-08-28,0.0,0.0
2016-08-29,0.0,0.0
2016-08-30,0.0,0.0
2016-08-31,0.0,0.0
2016-09-01,1.0,1.0414738011479354
2016-09-02,0.0,0.0
2016-09-03,0.0,0.0
2016-09-04,0.0,0.0
2016-09-05,0.0,0.0
2016-09-06,-1.0,-0.7985456324497421
2016-09-07,0.0,0.0
2016-09-08,0.0,0.0
2016-09-09,1.0,1.0414738011479354
2016-09-10,0.0,-0.0388201928468308
2016-09-11,0.0,0.0
2016-09-12,0.0,0.0
2016-09-13,-1.0,-1.446227383727384
2016-09-14,0.0,0.0
2016-09-15,0.0,0.0
2016-09-16,0.0,0.0
2016-09-17,-1.0,-0.9416514717374317
2016-09-18,0.0,0.0
2016-09-19,-1.0,-0.9416514717374317
2016-09-20,0.0,0.0
2016-09-21,1.0,2.082947602295871
2016-09-22,-1.0,-0.9416514717374317
2016-09-23,0.0,0.0
2016-09-24,0.0,0.0
2016-09-25,0.0,0.0
2016-09-26,0.0,0.1358893398880947
2016-09-27,0.0,0.0
2016-09-28,1.0,1.0414738011479354
2016-09-29,0.0,0.0
2016-09-30,0.0,0.0
2016-10-01,0.0,0.0
2016-10-02,0.0,0.0
2016-10-03,0.0,0.0
2016-10-04,1.0,1.0414738011479354
2016-10-05,-1.0,-0.7975536674122793
2016-10-06,0.0,0.0
2016-10-07,0.0,0.0
2016-10-08,0.0,0.0
2016-10-09,0.0,0.0
2016-10-10,0.0,0.0
2016-10-11,-1.0,-1.227872127872128
2016-10-12,-1.0,-2.3775159452632186
2016-10-13,0.0,0.0
